SATIS_NO;LEAD_ID;MUSTERI_ID;BAYI_KODU;ARAC_KODU;DANISMAN_ID;SATIS_TARIHI;TESLIMAT_TARIHI;NET_FIYAT;ODEME_TIPI;TAKAS_DEGERI;SASE_NO
S001150;L0006028;C004503;D007;V008;A0073;10.06.2026;09.07.2026;3766000;financing;;WBAGAT3GS744B15DS
S001833;L0009783;C000936;D003;V008;A0034;20.07.2026;29.08.2026;4200000;bank_transfer;;WBACDD1SP30UXHB9H
S000912;L0004772;C004959;D006;V029;A0062;14.01.2026;26.01.2026;3212000;bank_transfer;;WBAHVUTETARCSMRMH
S002212;L0011976;C005370;D006;V017;A0062;23.06.2026;08.07.2026;3838000;financing;;WBAHH20CE2SXPWGDE
S001827;L0009747;C002037;D011;V019;A0112;10.12.2025;05.01.2026;4270000;bank_transfer;2200000;WBABAYSUKMTW7GDYP
S002712;L0014811;C005151;D002;V034;A0023;16.02.2026;28.02.2026;5778000;cash;;WBAP48R9RL0P1ETSB
S000221;L0001219;C005832;D001;V027;A0014;22.12.2025;31.12.2025;3517000;bank_transfer;560000;WBALVMCMG7LM2LX70
S001473;L0007972;C002604;D005;V029;A0054;12.03.2026;18.04.2026;3183000;financing;;WBAUBYZSCC5SKMFER
S000795;L0004185;C000141;D010;V024;A0104;21.05.2026;04.06.2026;2580000;bank_transfer;;WBA3SC1H52NSYVC2R
S000450;L0002467;C000919;D005;V033;A0052;05.10.2024;16.11.2024;5150000;financing;;WBA73XF5M397NJXV7
S001518;L0008226;C001227;D007;V027;A0071;10.12.2025;15.01.2026;3468000;financing;;WBAS6ZM28VYRXXXTU
S000085;L0000469;C003932;D011;V026;A0114;21.10.2024;28.11.2024;2813000;financing;;WBAZY9CZ39CK5B8W8
S001282;L0006876;C005370;D005;V031;A0054;10.07.2026;02.08.2026;10281000;financing;;WBAVGY03WKVMGNNKS
S000622;L0003317;C004996;D003;V001;A0033;18.07.2026;06.08.2026;3322000;financing;;WBA24DZMXREBNCAV0
S000267;L0001481;C001077;D010;V022;A0103;08.04.2026;15.05.2026;9454000;cash;3000000;WBANJERWDDZB0NZCU
S000786;L0004126;C004076;D003;V024;A0033;05.08.2026;16.08.2026;2574000;financing;;WBAYVEEZ32P6BA560
S000291;L0001635;C005843;D007;V034;A0073;10.10.2024;30.10.2024;6004000;cash;;WBA50ZTDB24KVJVM4
S002368;L0012829;C004514;D003;V017;A0031;20.04.2026;01.06.2026;3986000;bank_transfer;;WBAVYUHDSP49MT7EJ
S001540;L0008340;C003795;D002;V026;A0021;13.06.2026;10.07.2026;2728000;financing;;WBAPN1JW370U77HEA
S002305;L0012477;C001450;D001;V019;A0012;14.04.2026;23.05.2026;4205000;financing;;WBAS2KEWK8XGD1MAA
S000417;L0002328;C000979;D004;V005;A0041;20.09.2025;03.11.2025;6338000;bank_transfer;3020000;WBAYE78D29E8RY82M
S000473;L0002584;C005143;D003;V029;A0033;21.01.2026;02.02.2026;3041000;financing;;WBA99NACGE819HKD6
S001076;L0005619;C001749;D002;V029;A0024;02.07.2025;10.08.2025;3014000;cash;560000;WBA3AU894E7BA1N68
S001293;L0006937;C006095;D003;V016;A0032;29.07.2026;18.08.2026;5197000;financing;;WBA27BX2SKN3W6E74
S002508;L0013585;C000075;D003;V011;A0034;09.12.2024;17.01.2025;5936000;cash;2580000;WBA61CTRUTKB3V4F0
S002281;L0012350;C005849;D009;V028;A0091;10.06.2026;15.07.2026;3741000;financing;850000;WBA9CBZNXMY3JCESP
S002678;L0014547;C003824;D002;V026;A0021;20.03.2026;02.05.2026;2773000;financing;;WBAGKSG8G28PAW8JT
S000655;L0003520;C004978;D009;V032;A0092;31.01.2026;09.03.2026;5935000;cash;;WBACS5GCHYTRVFXUA
S002221;L0012021;C000985;D011;V026;A0112;30.05.2025;17.06.2025;2699000;cash;;WBA2J00R8R6UEEX8M
S002547;L0013788;C005716;D010;V033;A0103;02.06.2025;09.07.2025;4910000;financing;;WBAD5DDENGMGW5VKH
S001115;L0005830;C003102;D002;V019;A0022;23.05.2026;20.06.2026;4206000;cash;;WBACNK6T6T5CG11YG
S000344;L0001953;C004962;D002;V016;A0023;01.04.2026;06.04.2026;5086000;bank_transfer;2160000;WBAJBFX19YLFKRG04
S002542;L0013760;C003545;D002;V008;A0024;27.06.2026;10.07.2026;3990000;bank_transfer;;WBAEKWZUXXU8HHPLX
S000123;L0000701;C005724;D014;V026;A0143;18.04.2025;08.05.2025;2736000;financing;;WBAG2HPG9EW3NZNMS
S001676;L0009108;C002322;D004;V032;A0041;01.06.2026;14.07.2026;5957000;financing;;WBA1PKVC7DDJTHKND
S000279;L0001548;C006110;D008;V017;A0083;09.02.2026;17.02.2026;3992000;cash;;WBAUP6KRS0DH2EPDL
S002304;L0012463;C005444;D001;V025;A0014;29.06.2026;13.07.2026;2845000;bank_transfer;;WBAB244GM0HF1JAG0
S002248;L0012158;C003475;D004;V018;A0043;28.05.2025;02.06.2025;4417000;cash;;WBA8TFF80UHN8H66V
S002250;L0012163;C003766;D008;V019;A0082;14.08.2026;18.08.2026;4197000;financing;;WBA9WXK51ZVK3ZWDT
S001256;L0006678;C003016;D006;V025;A0063;11.04.2026;15.04.2026;2914000;cash;;WBA51PRM1PG9CB82X
S000019;L0000079;C002264;D002;V003;A0023;02.06.2026;09.06.2026;4253000;financing;;WBA0SN17SW3Z7CDAB
S000614;L0003257;C001079;D005;V014;A0053;29.06.2026;02.08.2026;11322000;financing;;WBAX41CEKP89GS4WM
S000644;L0003458;C005173;D002;V026;A0023;09.04.2026;16.05.2026;2770000;financing;;WBAPW0JUMTAJW3TE9
S002309;L0012498;C003595;D003;V010;A0034;09.02.2026;22.03.2026;4393000;cash;;WBAA3HMUA7GXUH3PG
S001094;L0005725;C004708;D008;V017;A0081;10.11.2025;03.12.2025;3835000;cash;;WBA08X3G1W12U4BM7
S001719;L0009273;C004325;D007;V003;A0071;20.06.2025;18.07.2025;4389000;financing;1770000;WBAGDNX5Z2U81LCBK
S001489;L0008080;C001435;D005;V009;A0054;23.07.2025;03.08.2025;4696000;financing;2030000;WBAPY1E6U3Z67PL55
S001326;L0007141;C004750;D002;V025;A0023;31.03.2025;02.05.2025;2904000;financing;;WBAJ2YTCY96S72HAP
S001407;L0007641;C002594;D007;V017;A0074;23.08.2025;13.09.2025;3983000;cash;;WBARFCJJ4RJP4VAYA
S002377;L0012901;C003244;D011;V001;A0112;04.07.2026;03.08.2026;3241000;cash;;WBAKC391GYAGZA3PR
S001863;L0009979;C002645;D003;V025;A0031;22.09.2025;03.11.2025;2968000;bank_transfer;610000;WBAJSVXKFZPZ332LD
S000875;L0004560;C000269;D008;V018;A0081;16.04.2026;26.04.2026;4474000;financing;;WBAS3RHXVL5Z0XR4U
S001613;L0008790;C000092;D007;V002;A0074;18.04.2025;08.05.2025;3756000;financing;;WBAFCAYNHF2SKMJDB
S001967;L0010628;C002592;D002;V004;A0023;28.10.2024;27.11.2024;4783000;financing;;WBA7PXHR3ZALVLFZ1
S001392;L0007540;C002524;D006;V010;A0064;25.11.2024;30.11.2024;4257000;financing;1890000;WBA66NXVC2FXH343R
S001877;L0010083;C004397;D008;V017;A0084;30.09.2025;04.10.2025;3805000;financing;;WBAU9B1JS9N7ZTMW3
S000681;L0003685;C002427;D011;V009;A0113;22.03.2025;20.04.2025;4883000;bank_transfer;1960000;WBAHK6S9203A3XG2H
S001757;L0009430;C003551;D008;V028;A0082;29.03.2025;12.05.2025;3616000;cash;1530000;WBAZ2S89BHTCCC15K
S001469;L0007959;C002416;D003;V026;A0033;11.04.2026;13.05.2026;2784000;cash;;WBAAPFYU3AA0BC52J
S001692;L0009174;C000586;D002;V028;A0023;22.06.2026;02.08.2026;3849000;cash;;WBA4HU7EFFP41X6AC
S001379;L0007472;C001934;D011;V028;A0113;01.12.2025;14.12.2025;3820000;cash;;WBAW8EYZXWXZUW2BY
S000220;L0001213;C001789;D001;V004;A0011;17.09.2025;22.09.2025;4949000;financing;;WBAATGE0J9W9LJF0K
S000602;L0003156;C001846;D002;V003;A0023;28.05.2025;24.06.2025;4410000;cash;;WBA2RL1UKTLW39ZMK
S001602;L0008746;C001723;D003;V018;A0031;16.12.2025;09.01.2026;4507000;financing;810000;WBA5VDSXZVBYEGT2B
S001454;L0007900;C001244;D010;V016;A0101;13.11.2025;19.12.2025;5033000;financing;2100000;WBADVZAUY0DZ84B8T
S000304;L0001730;C004117;D011;V022;A0114;26.10.2024;12.11.2024;9242000;cash;3390000;WBAJTNZM42TK1641T
S000053;L0000318;C000883;D009;V001;A0094;24.08.2026;30.09.2026;3356000;financing;;WBA783RLE56B3NHYH
S001909;L0010274;C004939;D007;V026;A0073;19.02.2026;19.03.2026;2854000;financing;1170000;WBA8JMK2CGA7UNGWE
S001615;L0008795;C001885;D001;V021;A0014;13.11.2025;19.11.2025;7399000;cash;2330000;WBALM1U3RWTW9VGWZ
S001566;L0008479;C004312;D006;V024;A0063;20.01.2026;12.02.2026;2584000;financing;;WBAJSADL624338AAW
S000880;L0004582;C001730;D011;V008;A0111;15.01.2025;27.01.2025;3885000;cash;;WBAZFKC1WX30Y2SE8
S001079;L0005631;C005584;D004;V018;A0044;08.12.2025;18.01.2026;4407000;bank_transfer;2040000;WBAAJN3ET3FCV3XX3
S002167;L0011764;C004413;D003;V026;A0033;27.08.2026;08.10.2026;2777000;bank_transfer;;WBAWRMTD79FAA6PZ4
S000345;L0001955;C002402;D002;V008;A0024;12.02.2026;21.03.2026;3987000;financing;;WBAERWV2LZCKF3C8G
S001090;L0005680;C005744;D008;V026;A0081;23.06.2026;19.07.2026;2823000;financing;;WBAXC2R9ARHKTDY52
S001463;L0007930;C003375;D001;V005;A0014;14.01.2025;03.02.2025;6379000;cash;;WBA1Y38FC6SHK4E9X
S001972;L0010650;C005756;D007;V026;A0071;06.08.2026;10.09.2026;2790000;financing;;WBAC3D3TMF4DRWK7X
S000648;L0003492;C004144;D005;V026;A0051;18.03.2026;14.04.2026;2777000;cash;580000;WBAYE90JBMDTNUP3C
S002579;L0013958;C003154;D005;V028;A0054;24.03.2026;07.04.2026;3906000;bank_transfer;;WBACP4DG0HJ2L6RYT
S002650;L0014409;C004654;D004;V033;A0042;09.09.2025;21.10.2025;5193000;cash;;WBAXCHMDWKEDVH34W
S001889;L0010151;C000088;D003;V032;A0032;11.06.2025;18.07.2025;5715000;financing;;WBA2736C2WZECFVPK
S001689;L0009164;C000900;D007;V024;A0073;13.01.2026;25.01.2026;2435000;financing;550000;WBAS6UE6AYXWNFDP6
S002475;L0013402;C001716;D014;V008;A0143;05.09.2025;14.09.2025;3956000;cash;740000;WBAH5BK2DMPT8MWK8
S001299;L0006970;C004534;D003;V029;A0031;24.04.2025;16.05.2025;3035000;cash;1570000;WBABKHCL8SDBBEY6S
S002094;L0011303;C000776;D002;V024;A0024;13.08.2026;16.08.2026;2567000;cash;;WBASBH8ZYUD8LNJP2
S001356;L0007299;C005870;D005;V024;A0054;02.10.2024;12.11.2024;2538000;bank_transfer;480000;WBAC73JLAFL159X59
S000193;L0001078;C004331;D010;V034;A0103;28.04.2026;26.05.2026;5963000;cash;;WBAW4XAFB2TG8326Y
S000802;L0004206;C004551;D001;V033;A0012;27.06.2025;29.07.2025;5181000;bank_transfer;;WBAXZSJU5YJPLZK4X
S000175;L0000966;C000738;D003;V016;A0031;04.02.2026;02.03.2026;5187000;bank_transfer;1810000;WBA9EWKJFM5CH7HBW
S002013;L0010836;C002062;D008;V019;A0082;30.04.2026;22.05.2026;4438000;cash;;WBATS3R5E6T6BE70B
S002156;L0011722;C003216;D003;V034;A0033;02.02.2026;06.03.2026;5591000;financing;;WBA5E4PLWRDBHCWKJ
S001789;L0009572;C005568;D004;V008;A0044;01.06.2026;18.06.2026;4102000;cash;;WBAVL7LMTB6YEXN98
S002189;L0011867;C004445;D005;V014;A0052;04.03.2026;27.03.2026;11957000;financing;;WBAAT7CX5015RYYEG
S000352;L0001997;C005068;D007;V026;A0074;02.01.2026;13.01.2026;2754000;financing;;WBAZ7MYA8A3CU2CMR
S000669;L0003600;C004867;D001;V003;A0014;24.06.2025;16.07.2025;4355000;financing;1460000;WBA1NGX0GED2V2BAT
S002127;L0011496;C001868;D003;V030;A0032;15.01.2026;24.01.2026;11785000;financing;;WBAXG9UZYM7ADGURJ
S000129;L0000738;C002441;D004;V011;A0044;13.08.2026;18.08.2026;6013000;cash;;WBAE8JJFWRMWL5WEB
S000341;L0001932;C005187;D002;V029;A0021;14.08.2025;16.09.2025;3116000;cash;;WBAJGUGV6HAC73TZP
S000008;L0000034;C001311;D006;V025;A0062;14.03.2026;25.03.2026;2966000;bank_transfer;780000;WBA18NJF1RKBP659E
S001011;L0005357;C003386;D004;V020;A0043;18.12.2025;11.01.2026;5967000;financing;;WBARYVHEKELAU19CL
S002538;L0013749;C003988;D010;V013;A0102;04.08.2025;15.08.2025;10733000;cash;;WBA2Y9LAV0DYWADC6
S002264;L0012235;C005445;D003;V020;A0033;14.01.2025;12.02.2025;6392000;financing;;WBAYZYYHTDNSPRL37
S000308;L0001749;C005066;D002;V025;A0022;18.03.2026;20.04.2026;2922000;financing;;WBAL4JYGZFT4PR2LD
S000813;L0004270;C001379;D008;V029;A0082;20.11.2025;28.12.2025;3181000;financing;;WBATZUWGAY1TH9JCA
S000638;L0003415;C001951;D004;V012;A0041;04.11.2025;08.12.2025;6831000;financing;;WBA14G8FWYTNE5ZA0
S000384;L0002151;C000081;D008;V019;A0083;10.06.2026;12.07.2026;4500000;financing;1440000;WBASKSZVZSSJ0A0MU
S001568;L0008491;C000554;D008;V006;A0083;26.12.2025;11.01.2026;7138000;cash;;WBAT173U7B06PW717
S002565;L0013883;C000404;D010;V028;A0103;25.07.2025;16.08.2025;3806000;cash;1040000;WBA18UUJ7KU3DCWTB
S002323;L0012547;C004844;D004;V027;A0043;14.05.2026;07.06.2026;3608000;cash;;WBAULUDGASRZCBM6Z
S000178;L0001006;C004076;D003;V033;A0034;28.07.2025;15.08.2025;5111000;cash;;WBA0WX6HK209EH8YS
S000427;L0002379;C001824;D005;V035;A0051;08.06.2026;14.07.2026;7900000;financing;;WBAWRH0D82CWCLD6C
S000495;L0002680;C002043;D003;V005;A0032;29.10.2025;25.11.2025;6601000;cash;;WBACPL2WDE4LJAF06
S000184;L0001031;C002015;D001;V034;A0011;21.05.2026;08.06.2026;5719000;cash;;WBAJCKJCP6MZ4GXDT
S001062;L0005571;C003818;D001;V018;A0013;27.08.2026;07.10.2026;4507000;cash;;WBA7J0198R7RACHLE
S002520;L0013641;C003769;D004;V026;A0044;27.04.2026;17.05.2026;2785000;cash;;WBACKMLCF4KM38BF5
S000185;L0001037;C004604;D008;V011;A0083;20.12.2025;13.01.2026;6129000;financing;;WBA505L9GGMUWPREN
S001937;L0010412;C000742;D008;V026;A0081;22.07.2026;18.08.2026;2728000;financing;740000;WBAW4ZD79G21ZU2M6
S001980;L0010699;C005797;D001;V028;A0013;27.05.2026;25.06.2026;3805000;financing;;WBANW87HX8F2P57NM
S002242;L0012123;C004005;D007;V009;A0071;14.03.2026;24.04.2026;4900000;financing;;WBA53SNN6K3N08GJB
S002011;L0010833;C004898;D001;V028;A0012;25.10.2025;25.11.2025;3904000;financing;;WBAMX0X9G5XLDE1W2
S000811;L0004261;C001038;D006;V022;A0062;28.07.2026;03.09.2026;9197000;financing;;WBASY83621WU1VEPH
S001089;L0005676;C001378;D005;V035;A0054;29.07.2026;08.09.2026;7249000;cash;;WBAR8AT0LRP33C56K
S002537;L0013742;C001133;D014;V018;A0144;10.03.2025;13.03.2025;4392000;bank_transfer;2340000;WBAAWRZVRGPVNMNKM
S002227;L0012045;C000573;D011;V005;A0114;24.03.2026;05.04.2026;6620000;financing;;WBA6FUMKJ3LPF3EB3
S001375;L0007448;C005596;D004;V024;A0041;12.02.2026;25.02.2026;2573000;financing;970000;WBAU570WPG32Z0KLS
S001045;L0005496;C001001;D014;V029;A0141;21.07.2026;24.08.2026;3045000;cash;;WBA310XU5NF793W10
S000490;L0002666;C004002;D005;V026;A0051;09.01.2026;20.01.2026;2654000;bank_transfer;580000;WBAVCPDAH0GFKH390
S001420;L0007698;C004944;D014;V029;A0143;28.11.2025;10.01.2026;3023000;cash;730000;WBAR2M73ZDPKRJUXX
S002419;L0013096;C001779;D001;V027;A0012;14.02.2025;12.03.2025;3569000;financing;;WBA38WHLZNJ8B8HDG
S000691;L0003743;C000054;D012;V017;A0124;05.08.2026;27.08.2026;3983000;financing;;WBA4KY48HMKNV1ZUW
S002499;L0013509;C005011;D006;V029;A0061;20.03.2025;25.03.2025;3052000;financing;;WBAZ1MS2HKFXALYCB
S001265;L0006710;C001366;D007;V017;A0073;21.08.2026;12.09.2026;3924000;financing;;WBA5ZAJUS5MZ510UZ
S002031;L0010936;C001599;D006;V026;A0063;22.12.2025;12.01.2026;2819000;cash;760000;WBA6MXG5KF2EXTSZ2
S000757;L0004010;C002175;D007;V015;A0071;15.05.2025;17.06.2025;16016000;financing;;WBAUAGG28WLHEWU4J
S002020;L0010867;C004057;D002;V035;A0022;13.10.2025;07.11.2025;7628000;cash;;WBAAKN5X9L6G6PW9U
S001818;L0009701;C000900;D007;V016;A0073;07.01.2026;19.01.2026;5015000;financing;;WBAG9CPXLU23DGCAL
S001707;L0009231;C005538;D009;V029;A0092;22.08.2025;18.09.2025;3131000;cash;800000;WBA985RK5GRBMX7TD
S000119;L0000686;C000015;D006;V032;A0061;03.02.2025;14.03.2025;5969000;bank_transfer;;WBAFBGAP73LV99ELJ
S001911;L0010291;C000920;D012;V008;A0121;09.03.2026;09.04.2026;3934000;financing;;WBA32Z07MKN01G29U
S002675;L0014528;C005644;D006;V025;A0061;14.02.2026;01.03.2026;2898000;cash;560000;WBASN6N2YJ8GYHJ95
S000282;L0001568;C005552;D004;V018;A0042;12.11.2025;17.11.2025;4486000;bank_transfer;;WBA7TWDPC7JNY895H
S002425;L0013121;C005786;D001;V006;A0011;10.06.2026;15.07.2026;7207000;cash;;WBARWPX4ULRMFGRL4
S001002;L9167547;C002262;D003;V010;A0032;03.01.2026;12.01.2026;4281000;cash;;WBA1NDV6AWV7N3W0H
S002150;L0011668;C004735;D002;V016;A0024;09.03.2026;17.04.2026;4898000;financing;;WBAM2LWDBSKWHL1AH
S002584;L0013991;C003195;D003;V021;A0032;22.12.2025;03.01.2026;7301000;bank_transfer;1450000;WBA9CB3RRG4TCVGL8
S001798;L0009607;C005162;D007;V024;A0074;12.05.2025;01.06.2025;2448000;cash;;WBAX7LKHSJ13FVRU6
S000882;L0004594;C004285;D002;V024;A0021;14.04.2026;25.04.2026;2650000;financing;;WBAY9Y073SX533HS9
S001058;L0005559;C001315;D004;V008;A0041;28.04.2026;08.06.2026;4138000;cash;1170000;WBADH5CM15BUAZSL7
S001377;L0007467;C005230;D001;V016;A0012;26.03.2026;16.04.2026;5151000;financing;1380000;WBAMYXA1MX5VU9CGK
S000719;L0003845;C002520;D013;V024;A0134;01.07.2026;31.07.2026;2477000;financing;800000;WBAWD10V44YRKPKH9
S000367;L0002054;C000478;D007;V024;A0072;18.07.2025;01.08.2025;2557000;bank_transfer;;WBA9YR56RBWBV47MZ
S002578;L0013953;C001918;D003;V020;A0032;24.11.2025;17.12.2025;6054000;bank_transfer;;WBAXX0PC3J9KZJPXT
S002683;L0014578;C001952;D005;V024;A0053;20.10.2025;02.12.2025;2580000;cash;1050000;WBA6T575T7K12ZHEN
S000556;L0002952;C003662;D003;V008;A0033;14.05.2026;21.05.2026;3963000;financing;;WBAHH6KCADGKKLCJY
S001533;L0008289;C000404;D001;V001;A0014;27.04.2026;02.06.2026;3252000;cash;1160000;WBABGHJHYKXVHNYE0
S001365;L0007377;C001707;D012;V028;A0124;20.10.2025;13.11.2025;3882000;cash;1120000;WBAKGLWPGFTUDF1P2
S000305;L0001736;C000020;D007;V016;A0071;08.10.2024;23.10.2024;5210000;financing;;WBAV1SJ06REZMP4DL
S002551;L0013815;C001932;D001;V009;A0012;06.03.2026;20.03.2026;4465000;cash;;WBA40ZR6NF95E1YVF
S000204;L0001127;C005496;D012;V018;A0123;08.11.2024;14.11.2024;4502000;financing;1910000;WBANWKBJN7EDUFTKE
S001175;L0006152;C004312;D005;V021;A0054;23.09.2024;01.11.2024;6811000;cash;;WBAX8P83BDHPP6XY8
S002065;L0011135;C004043;D010;V026;A0101;13.09.2025;30.09.2025;2781000;financing;;WBAR56P15UJ1PEJUT
S000121;L0000692;C003151;D006;V037;A0064;25.01.2025;19.02.2025;16262000;cash;;WBALYK3G5DPL1UA8T
S000284;L0001571;C004665;D005;V034;A0052;22.12.2025;31.12.2025;5811000;bank_transfer;;WBA4VHV9SPP4U92AA
S001504;L0008142;C002027;D003;V025;A0033;13.09.2025;19.09.2025;2863000;bank_transfer;;WBAJCZN04PUUHFJSK
S000576;L0003025;C000229;D005;V002;A0053;05.07.2025;05.08.2025;3760000;cash;1470000;WBAE71XNP1HLLTUG8
S001600;L0008723;C005862;D002;V006;A0024;03.04.2026;10.04.2026;7371000;financing;2950000;WBAT44TEERRUH5LXT
S001867;L0010019;C000067;D002;V017;A0021;25.08.2025;04.10.2025;3995000;bank_transfer;;WBA3BJN18393U8DY8
S001737;L0009343;C004283;D001;V009;A0012;01.05.2026;03.06.2026;4610000;financing;;WBATKS965VAFUAV5Z
S002316;L0012517;C004532;D007;V015;A0071;06.01.2025;17.02.2025;15707000;cash;7850000;WBA8MSB77PE6GAFV2
S000276;L0001519;C003985;D001;V029;A0012;30.12.2024;13.01.2025;3226000;financing;;WBAPL5X0D4NKKE3B3
S001411;L0007672;C003712;D002;V010;A0021;21.08.2025;28.08.2025;4539000;bank_transfer;;WBA8T6973E4YUT56B
S000257;L0001419;C005364;D011;V019;A0111;25.12.2025;21.01.2026;4311000;financing;1830000;WBAVD1DPE84FAEDML
S000361;L0002030;C004454;D002;V027;A0023;14.11.2025;13.12.2025;3491000;financing;;WBATVYWU4NRS0DNHJ
S001015;L0005388;C001360;D009;V002;A0093;12.05.2025;04.06.2025;3666000;cash;;WBAT40PTCFT43RHES
S001771;L0009469;C002410;D002;V027;A0023;17.01.2026;31.01.2026;3626000;cash;;WBAWGGEFVCXV1FKUS
S001609;L0008774;C000299;D003;V036;A0031;14.05.2025;19.05.2025;14049000;cash;;WBAV90EE9D4KLHE3U
S000605;L0003173;C001553;D006;V004;A0062;06.04.2026;06.05.2026;4749000;bank_transfer;;WBAM0VNE1W5HV371A
S001651;L0008980;C005025;D001;V005;A0013;07.11.2025;10.12.2025;6692000;bank_transfer;3370000;WBA3JX0DMXY5E3J80
S002247;L0012147;C000338;D010;V009;A0102;20.07.2026;02.08.2026;4703000;cash;;WBAV4JWKMN0G557H7
S000630;L0003358;C004115;D004;V007;A0042;27.11.2025;12.12.2025;13510000;financing;5560000;WBAG6CDDPHKU3KEYG
S001682;L0009132;C005913;D005;V026;A0052;09.10.2025;31.10.2025;2769000;cash;;WBANDJBP7B2ZET64S
S001897;L0010201;C002416;D001;V036;A0011;08.04.2026;05.05.2026;13023000;financing;;WBAG7P63R5H9JUBX1
S002004;L0010806;C003739;D001;V003;A0012;18.05.2026;29.05.2026;4323000;financing;;WBA344SHYL1WT01P7
S000287;L0001587;C001930;D001;V028;A0012;24.03.2025;29.04.2025;3964000;cash;;WBA8VNA9XK4MK4ENY
S002690;L0014638;C004593;D002;V025;A0023;30.12.2024;01.02.2025;2979000;bank_transfer;1170000;WBAED7CG1FY1LAHLP
S002035;L0010952;C001458;D007;V029;A0071;13.06.2025;28.06.2025;3011000;bank_transfer;990000;WBA6UHBZJK96NTAKP
S000301;L0001703;C001000;D001;V035;A0012;06.04.2026;23.04.2026;7709000;cash;;WBAG2XJMEB8V3C5AX
S001979;L0010687;C004972;D003;V026;A0032;09.05.2026;23.05.2026;2658000;bank_transfer;;WBABT94CKVKEM7XXP
S001284;L0006886;C005350;D007;V017;A0074;08.05.2026;06.06.2026;3882000;financing;;WBASW2ARJFE7Y0FAA
S000424;L0002371;C002686;D003;V025;A0034;06.06.2025;21.06.2025;2880000;financing;1360000;WBABM7FCJ1NTPG5W6
S002132;L0011535;C001625;D003;V017;A0034;07.05.2026;25.05.2026;3886000;financing;;WBA0V1P4D22BZWU39
S002735;L0014982;C002009;D002;V020;A0021;04.06.2025;05.07.2025;6550000;cash;;WBA289VXT8HHRFKXY
S001950;L0010482;C004605;D007;V011;A0073;18.12.2024;14.01.2025;6283000;financing;;WBARHTF2X2985X66N
S000163;L0000912;C001068;D004;V019;A0044;12.05.2026;15.05.2026;4495000;cash;;WBAFE1VUY7T17XRRM
S000066;L0000378;C004915;D010;V019;A0103;28.07.2025;04.08.2025;4226000;cash;;WBAUUTX6EJS91RVRX
S002019;L0010863;C004621;D003;V017;A0033;12.01.2026;05.02.2026;3851000;cash;;WBAX7820JKSMFCJRR
S000857;L0004503;C002061;D010;V008;A0104;14.08.2025;04.09.2025;4173000;bank_transfer;680000;WBAVL2C9E7LYUGAVE
S000891;L0004655;C005922;D012;V025;A0123;31.07.2025;30.08.2025;2889000;cash;;WBADE23WX416PWTS5
S001826;L0009735;C004120;D006;V027;A0064;30.03.2026;30.04.2026;3470000;financing;;WBAZYYV0RXF2XNMR1
S001508;L0008165;C003785;D007;V009;A0072;02.04.2025;24.04.2025;4617000;bank_transfer;1540000;WBAB5HJSVLWE1SY4H
S000743;L0003940;C001566;D002;V020;A0021;28.08.2026;20.09.2026;6420000;cash;;WBAHLANUZYPMW77JN
S002713;L0014828;C001171;D003;V027;A0031;14.11.2024;25.12.2024;3610000;financing;;WBA85WCSYKXKMBYGH
S002454;L0013283;C001536;D002;V001;A0021;23.04.2026;12.05.2026;3275000;cash;;WBAW6K7JKPY4G164B
S000231;L0001259;C002083;D007;V001;A0073;23.12.2024;24.01.2025;3278000;financing;;WBA7AAS27SS1APYR9
S001935;L0010405;C002667;D011;V010;A0112;06.11.2024;20.12.2024;4344000;bank_transfer;;WBABN3C3WTJ161E5A
S001147;L0006015;C004766;D001;V029;A0014;27.01.2025;06.03.2025;3006000;bank_transfer;1470000;WBAX2R7U26V6ZEDVN
S001458;L0007922;C001258;D008;V002;A0082;04.01.2025;01.02.2025;3580000;bank_transfer;630000;WBA09RUAR44UA1HXH
S001507;L0008160;C004716;D005;V028;A0053;19.05.2025;19.06.2025;3948000;cash;;WBATUJUJ9MARB3AKF
S001738;L0009356;C003148;D008;V034;A0081;01.05.2026;27.05.2026;5768000;bank_transfer;;WBABE85P5SCA71NBW
S001623;L0008828;C002646;D014;V025;A0142;20.08.2025;26.09.2025;2951000;cash;;WBARRC1PPY4HTTPML
S001538;L0008329;C003401;D002;V025;A0021;05.05.2026;04.06.2026;2887000;financing;;WBA5WBMPKHJ5XPXKN
S002461;L0013316;C005381;D007;V018;A0071;13.08.2025;21.09.2025;4570000;cash;;WBAPPAZKANKCTTAYV
S001264;L0006708;C005752;D001;V025;A0014;11.11.2024;02.12.2024;2858000;financing;820000;WBA2VMS5CHRDDEAX1
S000837;L0004398;C005778;D001;V028;A0011;08.10.2024;23.10.2024;3853000;bank_transfer;;WBABS3FYW8KDZ5SVT
S002635;L0014320;C001435;D005;V010;A0054;17.11.2025;02.12.2025;4576000;cash;;WBAYRKBLFX88HRTSV
S000375;L0002093;C002110;D007;V024;A0072;02.06.2026;09.06.2026;2482000;financing;;WBAMSSDXAP5TK5GPS
S001081;L0005642;C002405;D004;V027;A0043;20.04.2026;28.05.2026;3447000;cash;;WBAHND982WGEMVGH9
S001873;L0010059;C001067;D002;V033;A0023;24.10.2025;17.11.2025;5004000;financing;;WBABWSPB7LMFUFCXB
S001526;L0008268;C002992;D008;V032;A0082;23.02.2026;07.04.2026;5766000;financing;;WBA0FWPWUSW09U3JH
