TEKLIF_NO;LEAD_ID;ARAC_KODU;BAYI_KODU;TEKLIF_TARIHI;LISTE_FIYATI;ISKONTO_ORANI;NET_FIYAT;FINANSMAN;GECERLILIK_TARIHI;TEKLIF_DURUMU
O001452;L0003063;V027;D006;11.04.2026;3700000;5,15;3509000;H;25.04.2026;rejected
O001453;L0003064;V005;D013;24.03.2025;6900000;6,27;6467000;H;07.04.2025;accepted
O001454;L0003068;V029;D009;11.12.2025;3300000;3,16;3195000;E;25.12.2025;rejected
O001455;L0003069;V005;D002;14.02.2026;6900000;2,32;6740000;E;28.02.2026;rejected
O001456;L0003070;V020;D004;03.02.2026;6600000;10,09;5933000;H;17.02.2026;rejected
O001457;L0003073;V003;D004;13.05.2026;4650000;8,24;4266000;H;27.05.2026;accepted
O001458;L0003076;V025;D011;23.02.2026;3050000;5,98;2867000;E;09.03.2026;accepted
O001459;L0003077;V029;D006;22.07.2025;3300000;1,55;3248000;H;05.08.2025;accepted
O001460;L0003078;V021;D002;30.05.2026;7400000;2,19;7237000;E;13.06.2026;rejected
O001461;L0003079;V021;D007;16.06.2026;7400000;4,0;7104000;H;30.06.2026;accepted
O001462;L0003080;V010;D012;06.12.2024;4600000;1,31;4539000;H;20.12.2024;rejected
O001463;L0003081;V027;D001;22.12.2025;3700000;8,49;3385000;H;05.01.2026;rejected
O001464;L0003083;V017;D004;18.07.2025;4100000;9,06;3728000;E;01.08.2025;rejected
O001465;L0003089;V029;D005;24.03.2026;3300000;8,18;3029000;H;07.04.2026;rejected
O001466;L0003090;V002;D003;30.11.2024;3900000;2,52;3801000;H;14.12.2024;rejected
O001467;L0003093;V033;D004;06.04.2026;5400000;0,0;5400000;H;20.04.2026;rejected
O001468;L0003094;V010;D002;06.04.2026;4600000;1,95;4510000;E;20.04.2026;accepted
O001469;L0003095;V017;D009;20.06.2026;4100000;7,9;3776000;E;04.07.2026;accepted
O001470;L0003096;V001;D005;23.01.2026;3450000;4,43;3297000;H;06.02.2026;rejected
O001471;L0003098;V034;D004;06.12.2025;6100000;7,45;5645000;E;20.12.2025;accepted
O001472;L0003101;V017;D012;25.10.2024;4100000;3,42;3959000;H;08.11.2024;rejected
O001473;L0003102;V026;D013;29.05.2026;2900000;3,95;2785000;H;12.06.2026;accepted
O001474;L0003103;V033;D009;31.12.2025;5400000;5,11;5123000;E;14.01.2026;accepted
O001475;L0003107;V021;D010;18.06.2026;7400000;1,86;7262000;E;02.07.2026;accepted
O001476;L0003108;V029;D003;01.12.2025;3300000;5,3;3125000;E;15.12.2025;rejected
O001477;L0003109;V025;D006;20.12.2024;3050000;9,01;2775000;E;03.01.2025;accepted
O001478;L0003114;V026;D014;13.09.2025;2900000;8,95;2640000;H;27.09.2025;accepted
O001479;L0003115;V001;D011;11.03.2025;3450000;5,59;3257000;E;25.03.2025;rejected
O001480;L0003116;V036;D005;02.06.2026;14200000;5,58;13406000;E;16.06.2026;rejected
O001481;L0003118;V028;D003;01.05.2025;4000000;150,0;3860000;E;15.05.2025;rejected
O001482;L0003121;V032;D012;14.09.2024;6200000;2,08;6071000;H;28.09.2024;rejected
O001483;L0003122;V011;D001;22.08.2026;6400000;7,64;5910000;E;05.09.2026;open
O001484;L0003123;V027;D005;11.04.2026;3700000;6,96;3442000;E;25.04.2026;rejected
O001485;L0003127;V004;D014;07.07.2025;5100000;4,31;4880000;E;21.07.2025;rejected
O001486;L0003129;V028;D011;15.05.2026;4000000;4,15;3834000;E;29.05.2026;accepted
O001487;L0003130;V034;D007;13.02.2025;6100000;1,89;5984000;H;27.02.2025;rejected
O001488;L0003131;V029;D004;18.11.2024;3300000;4,74;3143000;H;02.12.2024;rejected
O001489;L0003134;V015;D005;17.11.2025;16800000;0,69;16684000;E;01.12.2025;rejected
O001490;L0003135;V001;D003;10.08.2026;3450000;6,96;3209000;H;24.08.2026;open
O001491;L0003136;V035;D009;30.05.2026;7900000;3,75;7603000;E;13.06.2026;rejected
O001492;L0003138;V024;D005;21.04.2026;2650000;2,35;;E;05.05.2026;accepted
O001493;L0003147;V019;D009;01.08.2026;4500000;3,41;4346000;E;15.08.2026;accepted
O001494;L0003150;V025;D010;23.02.2026;3050000;9,41;2762000;H;09.03.2026;rejected
O001495;L0003151;V025;D005;20.04.2026;3050000;9,84;2749000;H;04.05.2026;accepted
O001496;L0003152;V010;D004;29.06.2026;4600000;2,5;4485000;E;13.07.2026;rejected
O001497;L0003153;V008;D006;12.08.2026;4200000;3,81;4039000;E;26.08.2026;rejected
O001498;L0003154;V016;D001;11.10.2025;5300000;0,0;5300000;E;25.10.2025;rejected
O001499;L0003156;V003;D002;12.05.2025;4650000;5,16;4410000;H;26.05.2025;accepted
O001500;L0003157;V022;D005;16.09.2025;9800000;4,66;9342000;H;30.09.2025;accepted
O001501;L0003161;V032;D012;25.08.2026;6200000;5,37;5866000;E;08.09.2026;open
O001502;L0003162;V008;D001;21.10.2024;4200000;5,59;3965000;H;04.11.2024;accepted
O001503;L0003165;V002;D001;20.11.2024;3900000;5,19;3697000;H;04.12.2024;rejected
O001504;L0003168;V030;D002;08.11.2025;11900000;3,59;11473000;E;22.11.2025;rejected
O001505;L0003172;V004;D004;14.05.2025;5100000;4,63;4863000;E;28.05.2025;rejected
O001506;L0003173;V004;D006;30.03.2026;5100000;6,88;4749000;H;13.04.2026;accepted
O001507;L0003177;V029;D005;03.04.2026;3300000;2,27;3224000;H;17.04.2026;rejected
O001508;L0003178;V034;D007;24.12.2025;6100000;4,11;5849000;H;07.01.2026;rejected
O001509;L0003179;V019;D013;12.06.2026;4500000;2,34;4394000;E;26.06.2026;rejected
O001510;L0003180;V020;D003;15.11.2025;6600000;5,03;6267000;H;29.11.2025;rejected
O001511;L0003183;V024;D002;27.03.2026;2650000;6,0;2491000;H;10.04.2026;rejected
O001512;L0003185;V026;D004;16.06.2025;2900000;3,31;2804000;E;30.06.2025;rejected
O001513;L0003187;V004;D013;10.06.2026;5100000;0,0;5100000;H;24.06.2026;rejected
O001514;L0003188;V009;D006;14.04.2026;4900000;4,84;4662000;E;28.04.2026;rejected
O001515;L0003189;V003;D009;27.05.2025;4650000;2,68;4525000;E;10.06.2025;rejected
O001516;L0003193;V019;D001;21.11.2025;4500000;2,77;4375000;H;05.12.2025;accepted
O001517;L0003200;V025;D007;16.09.2025;3050000;5,07;2895000;E;30.09.2025;rejected
O001518;L0003201;V019;D008;10.02.2025;4500000;5,6;4247000;E;24.02.2025;accepted
O001519;L0003203;V003;D012;07.04.2026;4650000;5,35;4401000;H;21.04.2026;rejected
O001520;L0003206;V028;D007;02.09.2025;4000000;4,65;3813000;H;16.09.2025;rejected
O001521;L0003207;V033;D002;24.07.2026;5400000;3,1;5232000;E;07.08.2026;rejected
O001522;L0003208;V018;D002;22.01.2026;4700000;4,15;4505000;H;05.02.2026;rejected
O001523;L0003210;V032;D005;22.05.2025;6200000;5,85;5837000;H;05.06.2025;accepted
O001524;L0003212;V030;D002;05.05.2025;11900000;4,21;11398000;E;19.05.2025;rejected
O001525;L0003214;V021;D007;14.08.2026;7400000;4,87;7039000;H;28.08.2026;accepted
O001526;L0003215;V024;D006;11.12.2025;2650000;6,62;2474000;H;25.12.2025;rejected
O001527;L0003216;V009;D007;27.09.2025;4900000;4,6;4674000;H;11.10.2025;accepted
O001528;L0003217;V030;D002;05.03.2026;11900000;4,68;11343000;H;19.03.2026;rejected
O001529;L0003226;V024;D003;19.03.2026;2650000;6,77;2470000;H;02.04.2026;accepted
O001530;L0003227;V020;D006;28.09.2024;6600000;2,63;6426000;E;12.10.2024;rejected
O001531;L0003229;V033;D008;07.04.2026;5400000;6,3;5059000;E;21.04.2026;rejected
O001532;L0003233;V033;D004;01.06.2026;5400000;6,05;5073000;H;15.06.2026;accepted
O001533;L0003239;V025;D013;04.07.2026;3050000;6,95;2837000;E;18.07.2026;rejected
O001534;L0003240;V032;D002;26.02.2025;6200000;3,06;6010000;E;12.03.2025;rejected
O001535;L0003246;V028;D006;02.09.2025;4000000;6,86;3725000;H;16.09.2025;rejected
O001536;L0003249;V021;D006;24.09.2025;7400000;6,19;6942000;H;08.10.2025;rejected
O001537;L0003250;V024;D002;17.12.2025;2650000;7,72;2445000;H;31.12.2025;rejected
O001538;L0003251;V009;D007;10.11.2025;4900000;7,54;4530000;H;24.11.2025;rejected
O001539;L0003252;V037;D002;24.08.2026;17500000;7,18;16244000;H;07.09.2026;rejected
O001540;L0003254;V016;D006;20.04.2026;5300000;9,62;4790000;E;04.05.2026;accepted
O001541;L0003256;V001;D002;09.07.2026;3450000;5,34;3265000;H;23.07.2026;rejected
O001542;L0003257;V014;D005;29.06.2026;12300000;7,95;11322000;E;13.07.2026;accepted
O001543;L0003258;V010;D001;30.12.2025;4600000;8,63;4203000;H;13.01.2026;rejected
O001544;L0003259;V014;D009;16.04.2026;12300000;6,34;11519000;E;30.04.2026;accepted
O001545;L0003261;V019;D012;29.08.2026;4500000;7,16;4177000;E;12.09.2026;open
O001546;L0003264;V010;D005;10.08.2026;4600000;4,56;4390000;H;24.08.2026;rejected
O001547;L0003265;V034;D002;13.03.2026;6100000;6,99;5673000;H;27.03.2026;rejected
O001548;L0003267;V001;D002;21.08.2026;3450000;5,59;3257000;E;04.09.2026;open
O001549;L0003268;V024;D003;20.12.2025;2650000;3,96;2545000;H;03.01.2026;rejected
O001550;L0003269;V013;D001;08.12.2025;11200000;4,28;10720000;H;22.12.2025;accepted
O001551;L0003280;V027;D006;15.08.2026;3700000;1,53;3643000;E;29.08.2026;expired
O001552;L0003281;V013;D004;04.08.2026;11200000;1,66;11013000;H;18.08.2026;rejected
O001553;L0003285;V018;D002;12.05.2025;4700000;7,17;4363000;E;26.05.2025;accepted
O001554;L0003286;V037;D006;23.04.2026;17500000;5,76;16491000;H;07.05.2026;rejected
O001555;L0003287;V010;D005;09.06.2026;4600000;5,61;4341000;E;23.06.2026;rejected
O001556;L0003288;V026;D012;23.05.2026;2900000;5,1;2752000;H;06.06.2026;rejected
O001557;L0003289;V008;D007;15.06.2026;4200000;4,99;3990000;H;29.06.2026;rejected
O001558;L0003290;V009;D003;28.07.2026;4900000;6,31;4590000;H;11.08.2026;rejected
O001559;L0003292;V001;D009;28.02.2026;3450000;7,49;3191000;E;14.03.2026;accepted
O001560;L0003294;V027;D009;25.09.2025;3700000;4,6;3529000;E;09.10.2025;accepted
O001561;L0003295;V035;D003;03.07.2026;7900000;3,98;7585000;H;17.07.2026;accepted
O001562;L0003296;V019;D011;31.05.2025;4500000;1,06;4452000;H;14.06.2025;accepted
O001563;L0003297;V006;D013;05.08.2026;7800000;4,28;7466000;H;19.08.2026;rejected
O001564;L0003298;V029;D010;08.01.2025;3300000;6,0;3101000;H;22.01.2025;rejected
O001565;L0003301;V022;D014;23.12.2025;9800000;0,85;9716000;H;06.01.2026;rejected
O001566;L0003305;V035;D003;18.10.2025;7900000;7,55;7303000;H;01.11.2025;rejected
O001567;L0003310;V029;D003;18.04.2025;3300000;2,56;3215000;E;02.05.2025;rejected
O001568;L0003312;V026;D014;07.11.2025;2900000;9,78;2616000;H;21.11.2025;rejected
O001569;L0003317;V001;D003;16.07.2026;3450000;3,7;3322000;E;30.07.2026;accepted
O001570;L0003320;V020;D004;19.06.2026;6600000;6,88;6146000;E;03.07.2026;accepted
O001571;L0003321;V034;D007;09.04.2025;6100000;2,24;5963000;H;23.04.2025;rejected
O001572;L0003325;V020;D007;28.05.2025;6600000;4,98;6271000;E;11.06.2025;rejected
O001573;L0003327;V011;D006;27.07.2026;6400000;5,82;6027000;E;10.08.2026;accepted
O001574;L0003328;V015;D003;04.07.2025;16800000;2,5;16379000;E;18.07.2025;rejected
O001575;L0003329;V016;D002;22.07.2025;5300000;7,23;4916000;E;05.08.2025;rejected
O001576;L0003332;V002;D001;19.06.2026;3900000;4,24;3734000;H;03.07.2026;accepted
O001577;L0003334;V029;D007;29.04.2025;3300000;1,24;3259000;H;13.05.2025;accepted
O001578;L0003335;V010;D010;10.10.2024;4600000;0,0;4600000;E;24.10.2024;rejected
O001579;L0003336;V017;D003;30.07.2025;4100000;3,57;3953000;H;13.08.2025;accepted
O001580;L0003337;V032;D001;23.04.2025;6200000;7,45;5737000;E;07.05.2025;rejected
O001581;L0003341;V036;D004;19.01.2026;14200000;0,67;;E;02.02.2026;rejected
O001582;L0003342;V011;D007;12.01.2026;6400000;2,14;6263000;H;26.01.2026;rejected
O001583;L0003345;V009;D002;25.12.2024;4900000;3,99;4704000;H;08.01.2025;accepted
O001584;L0003352;V008;D013;29.10.2025;4200000;9,91;3783000;E;12.11.2025;rejected
O001585;L0003353;V028;D009;18.08.2025;4000000;2,29;3908000;E;01.09.2025;rejected
O001586;L0003355;V026;D008;23.09.2024;2900000;4,25;2776000;H;07.10.2024;accepted
O001587;L0003358;V007;D004;17.11.2025;14500000;6,83;13510000;E;01.12.2025;accepted
O001588;L0003360;V025;D009;01.08.2025;3050000;7,47;2822000;H;15.08.2025;accepted
O001589;L0003361;V017;D004;20.04.2026;4100000;6,33;3840000;E;04.05.2026;rejected
O001590;L0003362;V025;D005;14.02.2026;3050000;3,78;2934000;H;28.02.2026;rejected
O001591;L0003364;V009;D006;03.10.2025;4900000;3,25;4740000;E;17.10.2025;rejected
O001592;L0003365;V022;D009;12.06.2026;9800000;2,21;9582000;H;26.06.2026;rejected
O001593;L0003367;V036;D003;28.07.2026;14200000;2,05;13908000;E;11.08.2026;accepted
O001594;L0003368;V036;D002;23.06.2026;14200000;2,42;13856000;H;07.07.2026;accepted
O001595;L0003370;V034;D001;30.03.2026;6100000;3,31;5898000;H;13.04.2026;rejected
O001596;L0003376;V001;D002;10.03.2025;3450000;2,21;3373000;H;24.03.2025;rejected
O001597;L0003379;V034;D007;19.03.2026;6100000;5,79;5747000;H;02.04.2026;rejected
O001598;L0003380;V019;D006;12.03.2025;4500000;7,74;4151000;H;26.03.2025;rejected
O001599;L0003385;V027;D010;20.02.2026;3700000;2,8;3596000;E;06.03.2026;accepted
O001600;L0003387;V005;D002;13.09.2025;6900000;4,39;6596000;E;27.09.2025;accepted
O001601;L0003388;V031;D010;01.02.2025;10800000;0,43;10753000;H;15.02.2025;rejected
O001602;L0003389;V001;D003;22.08.2026;3450000;4,71;3287000;E;05.09.2026;accepted
O001603;L0003391;V001;D009;03.07.2026;3450000;9,11;3135000;E;17.07.2026;rejected
O001604;L0003393;V028;D001;18.06.2026;4000000;3,17;3873000;E;02.07.2026;rejected
O001605;L0003394;V018;D003;29.03.2025;4700000;5,71;4431000;E;12.04.2025;rejected
O001606;L0003397;V010;D003;21.03.2025;4600000;2,03;4506000;E;04.04.2025;rejected
O001607;L0003398;V028;D005;06.06.2026;4000000;6,45;3742000;E;20.06.2026;rejected
O001608;L0003399;V001;D007;22.06.2026;3450000;4,54;3293000;H;06.07.2026;accepted
O001609;L0003400;V024;D014;07.05.2026;2650000;6,96;2465000;E;21.05.2026;rejected
O001610;L0003404;V008;D004;25.11.2025;4200000;1,62;4132000;E;09.12.2025;rejected
O001611;L0003407;V030;D009;17.08.2026;11900000;7,52;11005000;E;31.08.2026;expired
O001612;L0003411;V010;D003;17.03.2025;4600000;1,19;4545000;E;31.03.2025;rejected
O001613;L0003413;V002;D007;29.05.2025;3900000;5,0;3704000;E;12.06.2025;rejected
O001614;L0003414;V002;D009;22.06.2026;3900000;0,02;3899000;H;06.07.2026;rejected
O001615;L0003415;V012;D004;23.10.2025;7100000;3,78;6831000;E;06.11.2025;accepted
O001616;L0003416;V012;D003;03.06.2026;7100000;2,6;6915000;E;17.06.2026;rejected
O001617;L0003417;V029;D006;30.07.2026;3300000;5,99;3102000;H;13.08.2026;rejected
O001618;L0003421;V006;D010;18.11.2024;7800000;4,72;7431000;E;02.12.2024;rejected
O001619;L0003422;V025;D003;29.08.2025;3050000;2,27;2980000;H;12.09.2025;rejected
O001620;L0003429;V027;D009;11.03.2026;3700000;3,97;3552000;E;25.03.2026;rejected
O001621;L0003430;V027;D001;05.12.2024;3700000;3,72;3562000;H;19.12.2024;rejected
O001622;L0003432;V001;D001;07.08.2026;3450000;3,41;3332000;H;21.08.2026;accepted
O001623;L0003435;V005;D007;04.07.2025;6900000;3,7;6644000;E;18.07.2025;rejected
O001624;L0003436;V026;D009;01.09.2025;2900000;4,18;2778000;H;15.09.2025;rejected
O001625;L0003437;V025;D003;22.09.2025;3050000;7,47;2822000;H;06.10.2025;accepted
O001626;L0003444;V026;D007;02.03.2026;2900000;4,99;2755000;H;16.03.2026;rejected
O001627;L0003445;V024;D003;26.09.2025;2650000;4,77;2523000;E;10.10.2025;rejected
O001628;L0003447;V003;D002;05.01.2026;4650000;5,28;4404000;H;19.01.2026;rejected
O001629;L0003450;V028;D010;25.06.2026;4000000;7,52;3699000;H;09.07.2026;accepted
O001630;L0003451;V034;D007;30.03.2026;6100000;7,95;5615000;E;13.04.2026;rejected
O001631;L0003452;V026;D004;30.03.2026;2900000;8,08;2665000;E;13.04.2026;rejected
O001632;L0003454;V003;D006;12.04.2025;4650000;4,18;4455000;E;26.04.2025;accepted
O001633;L0003455;V035;D006;20.03.2026;7900000;3,58;7616000;H;03.04.2026;rejected
O001634;L0003456;V009;D006;03.03.2026;4900000;7,09;4552000;H;17.03.2026;accepted
O001635;L0003458;V026;D002;03.04.2026;2900000;4,48;2770000;E;17.04.2026;accepted
O001636;L0003459;V027;D002;11.03.2026;3700000;0,88;3667000;H;25.03.2026;rejected
O001637;L0003465;V004;D007;10.08.2026;5100000;0,0;5100000;H;24.08.2026;rejected
O001638;L0003467;V003;D009;18.09.2025;4650000;6,4;4352000;H;02.10.2025;accepted
O001639;L0003468;V034;D002;06.08.2025;6100000;3,89;5862000;E;20.08.2025;accepted
O001640;L0003470;V024;D001;21.07.2026;2650000;4,54;2529000;H;04.08.2026;rejected
O001641;L0003475;V022;D008;19.06.2026;9800000;1,14;9687000;E;03.07.2026;rejected
O001642;L0003477;V033;D001;10.04.2026;5400000;6,19;5065000;H;24.04.2026;rejected
O001643;L0003479;V030;D009;11.08.2025;11900000;1,45;11727000;H;25.08.2025;rejected
O001644;L0003481;V029;D009;09.03.2026;3300000;3,18;3195000;E;23.03.2026;rejected
O001645;L0003483;V011;D008;09.03.2026;6400000;8,16;5877000;H;23.03.2026;rejected
O001646;L0003485;V001;D005;25.10.2024;3450000;3,82;3318000;H;08.11.2024;rejected
O001647;L0003486;V003;D004;25.03.2026;4650000;6,56;4344000;E;08.04.2026;rejected
O001648;L0003490;V028;D007;06.06.2025;4000000;6,07;3757000;E;20.06.2025;rejected
O001649;L0003491;V025;D003;01.09.2025;3050000;2,93;2960000;E;15.09.2025;accepted
O001650;L0003492;V026;D005;09.03.2026;2900000;4,24;2777000;H;23.03.2026;accepted
O001651;L0003493;V020;D008;06.12.2025;6600000;3,83;6347000;H;20.12.2025;rejected
O001652;L0003494;V026;D002;07.10.2024;2900000;2,51;2827000;E;21.10.2024;accepted
O001653;L0003495;V001;D004;06.11.2025;3450000;6,01;3242000;E;20.11.2025;accepted
O001654;L0003496;V008;D001;21.04.2026;4200000;2,05;4114000;H;05.05.2026;accepted
O001655;L0003500;V029;D001;27.10.2025;3300000;4,76;3143000;E;10.11.2025;rejected
O001656;L0003502;V028;D005;29.11.2025;4000000;0,96;3961000;H;13.12.2025;accepted
O001657;L0003504;V029;D002;22.05.2026;3300000;4,86;3139000;H;05.06.2026;accepted
O001658;L0003505;V029;D011;22.05.2026;3300000;6,42;3088000;E;05.06.2026;rejected
O001659;L0003515;V034;D003;08.08.2026;6100000;3,85;5865000;E;22.08.2026;rejected
O001660;L0003516;V008;D010;05.08.2026;4200000;3,91;4035000;H;19.08.2026;rejected
O001661;L0003517;V017;D002;24.03.2025;4100000;2,16;4011000;E;07.04.2025;rejected
O001662;L0003518;V029;D006;22.05.2026;3300000;4,21;3161000;H;05.06.2026;accepted
O001663;L0003519;V033;D001;08.07.2026;5400000;99,0;5215000;H;22.07.2026;rejected
O001664;L0003520;V032;D009;22.01.2026;6200000;4,26;5935000;H;05.02.2026;accepted
O001665;L0003521;V026;D005;11.04.2026;2900000;3,53;;E;25.04.2026;accepted
O001666;L0003522;V003;D002;12.02.2026;4650000;4,11;4458000;H;26.02.2026;rejected
O001667;L0003523;V033;D003;15.06.2026;5400000;1,54;5316000;H;29.06.2026;rejected
O001668;L0003525;V020;D002;23.02.2026;6600000;7,74;6088000;H;09.03.2026;rejected
O001669;L0003528;V010;D006;20.01.2026;4600000;0,13;4594000;H;03.02.2026;rejected
O001670;L0003529;V029;D004;24.06.2025;3300000;2,8;3207000;H;08.07.2025;accepted
O001671;L0003533;V003;D012;06.10.2025;4650000;7,25;4313000;H;20.10.2025;rejected
O001672;L0003534;V002;D007;23.10.2025;3900000;7,3;3615000;H;06.11.2025;rejected
O001673;L0003536;V014;D003;29.10.2025;12300000;7,63;11361000;H;12.11.2025;accepted
O001674;L0003543;V034;D001;02.05.2026;6100000;2,72;5933000;E;16.05.2026;rejected
O001675;L0003544;V014;D004;27.05.2026;12300000;6,32;11523000;H;10.06.2026;rejected
O001676;L0003545;V026;D011;03.04.2026;2900000;2,47;2828000;H;17.04.2026;rejected
O001677;L0003548;V010;D002;13.01.2025;4600000;6,56;4298000;E;27.01.2025;rejected
O001678;L0003549;V010;D004;17.12.2025;4600000;2,2;4498000;H;31.12.2025;accepted
O001679;L0003551;V019;D002;07.02.2026;4500000;4,65;4290000;E;21.02.2026;rejected
O001680;L0003552;V002;D007;05.03.2026;3900000;0,0;3900000;H;19.03.2026;rejected
O001681;L0003553;V016;D002;23.01.2026;5300000;4,52;5060000;H;06.02.2026;rejected
O001682;L0003554;V018;D001;01.01.2026;4700000;6,09;4413000;E;15.01.2026;rejected
O001683;L0003555;V011;D003;22.05.2026;6400000;4,9;6086000;E;05.06.2026;accepted
O001684;L0003556;V017;D007;17.02.2025;4100000;8,23;3762000;H;03.03.2025;rejected
O001685;L0003560;V033;D002;19.08.2025;5400000;4,71;5145000;H;02.09.2025;accepted
O001686;L0003562;V030;D008;13.03.2026;11900000;0,87;11796000;H;27.03.2026;rejected
O001687;L0003564;V025;D007;01.01.2025;3050000;5,03;2896000;H;15.01.2025;rejected
O001688;L0003566;V008;D011;24.06.2025;4200000;0,0;4200000;H;08.07.2025;accepted
O001689;L0003567;V025;D005;23.07.2026;3050000;6,66;2846000;E;06.08.2026;rejected
O001690;L0003568;V028;D012;14.03.2026;4000000;5,28;3788000;E;28.03.2026;accepted
O001691;L0003570;V026;D012;26.05.2026;2900000;6,55;2710000;H;09.06.2026;accepted
O001692;L0003573;V024;D008;08.01.2026;2650000;3,74;2550000;H;22.01.2026;rejected
O001693;L0003574;V005;D008;13.06.2026;6900000;7,25;6399000;E;27.06.2026;rejected
O001694;L0003577;V024;D001;18.05.2026;2650000;3,02;2570000;E;01.06.2026;rejected
O001695;L0003579;V022;D006;12.08.2026;9800000;1,36;9667000;H;26.08.2026;rejected
O001696;L0003580;V017;D002;15.10.2024;4100000;0,0;4100000;H;29.10.2024;accepted
O001697;L0003581;V026;D005;09.08.2025;2900000;6,46;2712000;E;23.08.2025;accepted
O001698;L0003583;V001;D004;12.01.2026;3450000;5,75;3251000;H;26.01.2026;rejected
O001699;L0003585;V005;D004;06.10.2025;6900000;6,29;6465000;H;20.10.2025;rejected
O001700;L0003587;V020;D006;13.10.2025;6600000;0,0;6600000;E;27.10.2025;accepted
O001701;L0003588;V027;D012;05.05.2026;3700000;4,85;3520000;H;19.05.2026;rejected
O001702;L0003590;V021;D006;20.07.2026;7400000;3,42;7147000;E;03.08.2026;rejected
O001703;L0003592;V030;D005;12.02.2025;11900000;5,09;11294000;H;26.02.2025;rejected
O001704;L0003595;V005;D006;26.05.2025;6900000;2,76;6709000;E;09.06.2025;rejected
O001705;L0003598;V019;D008;25.05.2026;4500000;1,92;4413000;E;08.06.2026;accepted
O001706;L0003600;V003;D001;17.06.2025;4650000;6,33;4355000;E;01.07.2025;accepted
O001707;L0003601;V034;D013;12.04.2025;6100000;2,38;5954000;H;26.04.2025;rejected
O001708;L0003602;V027;D007;20.06.2025;3700000;3,55;3568000;E;04.07.2025;accepted
O001709;L0003603;V033;D007;23.07.2026;5400000;0,0;5400000;H;06.08.2026;rejected
O001710;L0003605;V009;D004;09.01.2026;4900000;8,08;4504000;E;23.01.2026;accepted
O001711;L0003607;V027;D008;04.07.2025;3700000;2,27;3616000;H;18.07.2025;rejected
O001712;L0003612;V003;D003;20.12.2025;4650000;1,2;4594000;H;03.01.2026;rejected
O001713;L0003613;V003;D004;14.07.2026;4650000;3,6;4482000;H;28.07.2026;rejected
O001714;L0003614;V018;D003;11.04.2025;4700000;5,61;4436000;E;25.04.2025;accepted
O001715;L0003615;V036;D001;06.12.2025;14200000;6,34;13299000;H;20.12.2025;accepted
O001716;L0003617;V005;D004;20.09.2024;6900000;5,55;6517000;E;04.10.2024;accepted
O001717;L0003621;V002;D001;18.02.2026;3900000;1,94;3824000;H;04.03.2026;rejected
O001718;L0003623;V016;D005;07.11.2025;5300000;1,34;5228000;H;21.11.2025;rejected
O001719;L0003626;V018;D003;05.06.2026;4700000;5,21;4454000;E;19.06.2026;accepted
O001720;L0003627;V011;D007;24.08.2026;6400000;2,74;6224000;E;07.09.2026;open
O001721;L0003628;V013;D008;10.12.2025;11200000;4,38;10709000;H;24.12.2025;rejected
O001722;L0003630;V013;D002;24.12.2025;11200000;2,48;10921000;H;07.01.2026;accepted
O001723;L0003631;V035;D012;23.08.2025;7900000;5,29;7481000;H;06.09.2025;rejected
O001724;L0003632;V028;D004;29.01.2025;4000000;2,52;3899000;H;12.02.2025;rejected
O001725;L0003634;V011;D002;15.11.2025;6400000;1,4;6310000;H;29.11.2025;rejected
O001726;L0003635;V007;D006;24.11.2025;14500000;3,97;13924000;H;08.12.2025;rejected
O001727;L0003639;V029;D009;02.12.2025;3300000;5,29;3125000;H;16.12.2025;rejected
O001728;L0003643;V018;D010;06.05.2025;4700000;3,91;4516000;H;20.05.2025;rejected
O001729;L0003648;V025;D007;15.06.2026;3050000;5,08;2895000;H;29.06.2026;rejected
O001730;L0003650;V033;D009;08.12.2025;5400000;9,79;4871000;H;22.12.2025;accepted
O001731;L0003651;V030;D005;26.08.2025;11900000;4,19;11401000;E;09.09.2025;rejected
O001732;L0003652;V002;D002;07.02.2026;3900000;3,84;3750000;E;21.02.2026;accepted
O001733;L0003653;V019;D004;29.01.2026;4500000;5,25;4263000;E;12.02.2026;rejected
O001734;L0003655;V030;D003;01.04.2026;11900000;9,15;10810000;E;15.04.2026;rejected
O001735;L0003656;V012;D001;30.01.2026;7100000;1,84;6969000;E;13.02.2026;rejected
O001736;L0003657;V012;D009;05.06.2025;7100000;5,47;6711000;E;19.06.2025;rejected
O001737;L0003659;V029;D011;07.05.2025;3300000;4,11;3164000;E;21.05.2025;rejected
O001738;L0003662;V016;D003;23.12.2025;5300000;2,73;5155000;E;06.01.2026;rejected
O001739;L0003668;V019;D005;22.11.2025;4500000;0,0;4500000;E;06.12.2025;rejected
O001740;L0003669;V022;D003;04.06.2026;9800000;5,85;9226000;H;18.06.2026;rejected
O001741;L0003670;V027;D001;30.07.2025;3700000;5,7;3489000;H;13.08.2025;accepted
O001742;L0003675;V036;D002;20.05.2026;14200000;5,19;13463000;E;03.06.2026;accepted
O001743;L0003676;V027;D006;21.07.2025;3700000;4,01;3551000;H;04.08.2025;rejected
O001744;L0003677;V028;D009;28.03.2025;4000000;7,21;3711000;H;11.04.2025;rejected
O001745;L0003680;V036;D002;29.10.2024;14200000;5,24;13456000;H;12.11.2024;rejected
O001746;L0003681;V018;D002;28.05.2026;4700000;8,46;4302000;E;11.06.2026;rejected
